,2010-08
2010-08-01_359,"新莊地價燒 營建三強前景俏
遠雄、興富發、冠德坐擁大筆土地，開發獲利可期；國建挾「富爸爸」概念，投顧續看旺。
【記者黃啟菱╱台北報導】
中央銀行出重手打房，土地標售市場卻仍然強強滾，其中以新莊副都心表現最亮眼，每次標售都是「全壘打」，也讓營建族群中在該區坐擁大筆土地的遠雄（5522）、興富發（2542）與冠德（2520）等前景看俏。
萬寶投顧研究部協理王榮旭指出，近來營建類股最大的亮點就是國建，主因國建的股本僅165億元，蔡鎮宇身價卻有數百億元，未來蔡鎮宇若要扶植國建，絕無問題，「富爸爸」概念讓國建7月以來狂漲27%。
儘管國建發言人陳仁澤一直否認蔡鎮宇要入主一事，但王榮旭強調，國建目前每股淨值為12元，上周五（30日）收14.4元，股價淨值比相對偏低，頗具投資價值。
政府接連出手打房，央行甚至無預警升息，央行總裁彭淮南還向投資客下戰帖，卻仍擋不住房市交投火熱，升息至今，包括淡海與高雄兩個新市鎮、台中縣太平區段徵收開發案等土地標案屢開紅盤，新莊副都心兩次標售，更都100%標出揮出全壘打。
王榮旭表示，如今台北市房價高，外移至台北縣買房是必然趨勢，這也讓建商主戰場移往台北縣，新莊副都心頗有複製新板特區成功經驗態勢，成為推案熱區；在新莊副都心擁有最多土地庫存的，分別是遠雄、興富發與冠德。
據公開資訊觀測站資料顯示，興富發累計今年購置不動產金額已達143億元，坐穩上市櫃營建族群「獵地王」的寶座；遠雄建設則居次，今年已購置140億元的不動產，其中有120億元是用來買新莊副都心土地。
遠雄副總經理黃志鴻指出，遠雄建設目前持有新莊副都心土地7,000多坪，遠雄人壽則持有4,000多坪，共約1.2萬坪，如今該區建案正在規劃請照中，首案預計年底推出。
興富發副總經理廖昭雄則說，現在在新莊副都心除了「新富都」系列個案穩定銷售外，亦規劃推出全新系列建案「新富邑」，在手可開發土地有七、八千坪，可說是把新莊副都心視為公司經營主戰場。
冠德副總經理洪錦欽表示，冠德在新莊副都心的土地庫存有5,000多坪，還有數筆土地正在整合中，首案已規劃完畢，可望於928檔期推出，該案位於思源路，設計為樓高26樓的地標性產品，頗具獨特性，總銷逾20億元。
洪錦欽強調，新莊副都心因有重劃區的完善規劃，又具備捷運、高速公路等交通利多，有機會成為下一個信義計畫區。
【2010-08-01/經濟日報/A4版/主流股】
"
2010-08-01_57,"法人：利多加持 穩步墊高
【記者黃俊苔╱台北報導】
近期不少土地標案開出天價，顯示地價可望維持在高檔，加上都更議題發燒與股價整理已久等因素，法人認為，營建類股有機會在高股息殖利率題材下，短線穩步墊高。
營建類股除了在4月稍有作為，今年以來多處整理階段。以營建類股指數來看，5月以後即難站回年線之上，不過上周三、四盤中兩度突破年線，多頭攻擊力道顯現。凱基投顧分析，營建類股近期題材齊聚，包含土地標售案與股價落後補漲，個股行情有機會發酵。另外，容積率獎勵出爐，更將點燃都更題材。
摩根富林明JF台灣金磚基金經理人葉鴻儒表示，第四季是營建類股傳統交屋及銷售旺季，因此第三季交投相對清淡，不過營建股近期在高股息殖利率、填息、新台幣升值及都更等利多題材激勵下，持續吸引市場買盤，除息後表現亦對強勁，整體類股表現相當強勢。
營建股備受看好的主因，即為國內土地標售成本與價格不斷走高，使土地價格持續維持在高檔。豐中華投信表示，房地產景氣並未走弱，加上台商資金回流後，許多都會轉往房地產，市場需求出籠與景氣緩步增溫，都有助提高房地產的需求。看好在都更題材出爐後，對目前股價相對偏低的營建股來說，深具發酵題材。
且在兩岸經濟協議（ECFA）簽訂後，營建、資產股受惠台股的價值重估行情啟動，未來陸資、外資持續引入下，長線行情看好。寶來績效基金經理人陳俊穎認為，外資來台購地，將成未來房價維持高檔的支撐所在。
【2010-08-01/經濟日報/A4版/主流股】
"
2010-08-02_311,"《1分鐘看世界》
英國 利率長期低檔 房市估再旺四年
【本報訊】
英國經濟與商業研究中心（CEBR）表示，基於利率將長期處於低檔，英國房市這波復甦可望持續到2014年。預計今年第四季房價將比去年同季上漲6.7%。
【2010-08-02/經濟日報/A7版/國際企業】
"
2010-08-02_330,"《梁彥平專欄》
景氣復甦有隱憂 保守為上
【梁彥平】
兩岸經濟協議（ECFA）甫於6月底簽署，7月台股就上漲5.88%，若不是遇上年度除權息交易的熱季，台股表現和滬深兩市近10%的漲幅應可分庭抗禮，台灣黃金十年的發展願景拉開了令人喝采的序幕。
不過，台股7月間最大日成交量不及1,250億元，顯示投資人追價意願並不積極，因此，多方嘗試回補空方缺口的努力功虧一簣。
此外，盤面缺乏明顯主流，雖有龍頭企業強勢填權息的亮麗演出，但重量級法說會捎來的利多無法激勵投資買氣，面對上檔型態賣壓，適度的回檔整理應是相對合理的預期。
美股7月漲幅也相當出色，標準普爾S&P500大企業的第二季財報平均獲利年增率近六成，大幅優於市場預期的34%，為美股反彈增添不少動能。然而，隨著財報佳績的正面效益遞減，總經數據下滑的事實浮現檯面，美國第二季經濟成長率僅有2.4%，7月消費者信心指數也持續下降到50.4，就業市場遲遲無法實質改善，又必須憂心復甦放緩的負面衝擊，消費信心低迷並不意外。
隨著美國購屋退稅補貼方案結束，上半年待售新屋雖下滑至21萬戶，尚需七個月才能去化完畢，仍是過去十年均值的兩倍，庫存壓力攀升將壓抑未來房價的漲幅，加上失業率仍高居9.5%，初級抵押房貸延遲支付率也創下歷史新高來到7.3%，致使銀行放款標準較過往嚴格，將不利新屋市場回溫，整體經濟復甦前景的隱憂仍在。
同時，台股龍頭企業財報低於預期，對下半年景氣展望更轉趨保守，第三季雖為終端產品備料旺季，預期8、9月營運因基本備貨需求可望重新回溫，但電子上游端產能利用率於第二季見高後，大廠ACER與HP對近月出貨預估已相對保守，前五大NB代工廠的出貨量需求恐將下修。中國PC庫存第二季也已偏高，第三季成長動能偏弱，零組件廠商毛利將不甚樂觀。
下半年美、日就業市場持續走疲，加上歐洲債務危機引發的需求減緩疑慮，電子廠商營收成長幅度將不如以往旺季水準，傳統返校需求回升強度尚需觀察，部分企業對下一季成長個位數甚至負值的保守態度，恐將因旺季不旺的聯想引動外資調降評等的賣壓湧現。
台灣6月景氣領先指標已連五降，隨著歐美與中國經濟復甦放緩，台灣出口仍將受到影響。而台塑六輕的一場大火，引發地方環保人士的抗爭，導致六輕五期以及中科四期擴建計畫的延宕，對台灣經濟成長率的提升也屬負面，因此，即使季線已經翻揚助漲，投資人卻不宜過分樂觀，審慎保守仍是上策。
（作者是世新大學財金系助理教授）
【2010-08-02/經濟日報/C2版/市場脈動】
"
2010-08-02_333,"葛老：房價再跌 會變大麻煩
【編譯廖玉玲╱彭博資訊1日電】
前美國聯邦準備理事會（Fed）主席葛林斯班表示，美國經濟現在感覺像「準衰退」。如果房價繼續下跌，經濟可能陷入二度衰退。
葛林斯班接受NBC節目訪問時說：「現在是復甦過程中的暫停，復甦非常溫和，但在溫和復甦下的暫停感覺像準衰退。」
他還說，如果房價下跌，經濟很可能重陷衰退。
他認為房價過去一年已經落底，而大多數經濟學家也認為房價只會再「小跌」。如果房價持穩，或許就能順利避開最嚴重的房市問題，但現在許多房屋價格仍低於要償還的房貸，可能導致法拍屋增加，法拍屋增加又回頭拉低房價，形成惡性循環，這就會變成大麻煩。
葛林斯班指出，問題基本上出在經濟扭曲，復甦大多僅發生在大銀行、大企業和高所得個人身上。小企業、小銀行和勞動市場上的大多數人，並沒有分享到經濟復甦的果實。
美國財政部本周將公布7月失業率，彭博資訊預估會由9.5%升至9.6%，葛林斯班預期今年失業率大概都會維持在這個水準。
標準普爾（S&P）500指數已從今年高點下跌，不過仍比2009年的最低點高出63%。葛林斯班表示，股市若繼續上漲，有助刺激經濟。
他也再次警告，財政赤字可能推升長期利率，不利經濟復甦。但「此刻還沒有出現任何跡象，基本上是因為金融體系受損。如果金融體系無法運作，就不會有通膨的問題。」
【2010-08-02/經濟日報/A5版/國際焦點】
"
2010-08-03_14,"房
選後房價 轟出紅不讓
地貴房必漲 建商、代銷公會看好明年首季至少漲一成
【記者黃啟菱╱台北報導】
建商公會全聯會理事長王光祥、台北市代銷公會理事長王明成昨（2）日一致指出，在年底五都選舉之前，國內房市在土地成本居高不下、資金活絡兩大因素，價格將維持高檔不墜，選舉結束之後更將「一次漲起來」，預期明年第一季房價至少有一成的漲幅。
房市兩大意見領袖對景氣看法一致，主因近來土地價格不斷飆漲，在主要成本走高的情況下，房價不漲也難，王明成並強調：「麵粉都那麼貴了，麵包怎麼會便宜？」
王明成表示，近來政府積極打房，中央銀行更無預警升息，但即便如此，市場資金仍舊十分充沛，其中兩大主因，一是利率仍處於相對低檔，另一為遺贈稅大減，讓資金不斷流回台灣。
在這種情況下，部分資金自然會投入房市，如今豪宅市場有七、八成的買方是台商，王明成透露，不僅新推個案表現不錯，就連中古豪宅買氣也佳，如位於台北市信義計畫區的「維也納藝術廣場」，雖然屋齡十多年了，近日還是傳出每坪150萬元的行情。
土地價格更是驚驚漲，如近來新莊副都心兩次標售均「全壘打」，淡海、高雄新市鎮土地標售也開紅盤，今日又有內湖五期與中山北路巷內土地釋出，將公開標售。王光祥說，近來土地價格上漲驚人，以新店五峰重劃區的建案「養心殿」為例，第一期的土地成本每坪要240萬元，在北縣屬高價，第二期飆上每坪287萬元。
【2010-08-03/經濟日報/A3版/話題】
"
2010-08-03_169,"余家：買Villa給余祥銓治心病
【記者楊湘鈞、林政忠、羅建怡、黃琬軒╱連線報導】
監察院廉政專刊公布民進黨立委余天有一棟印尼峇里島的Villa，余天昨天澄清說，Villa是朋友當初拜託投資的，他只有出資一百多萬元，根本不知道Villa是圓還是扁，從來沒去過。
余天說，四、五年前，一位建築界朋友找他「投資」Villa ，「不是要買給余祥銓的」，大概一房一廳，他也不知道實際多大，連照片都沒看過；原本朋友告訴他投資五百萬，一天租金可有上萬元，每年還保留一、兩周可讓屋主度假。
余天笑說，他出了一百多萬元，後來「沒錢就沒繳了」，本想退掉，但朋友拜託要保留，之前登記在余祥銓名下，這都是老婆李亞萍在處理，「現在也不知道產權屬於誰，等於是一筆爛帳了」。
不過余天大女兒余筱萍表示，當初是因為弟弟余祥銓上華視「快樂星期天」節目慘遭評審羞辱，導致精神受創，為了余祥銓，在爸爸建築界友人介紹下，特地至峇里島買了棟Villa，好讓余祥銓有空時可以去散心，紓解精神壓力。
余祥銓則說：「其實這棟Villa我從來沒去過，目前全家也沒計劃去旅遊，現在好像租給別人吧！」
明星為度假方便，特在東南亞置產的例子頗多。今年初，傳出天后張惠妹有意在峇里島買下豪華Villa，張惠妹的經紀人陳鎮川則說：「張惠妹當初曾想買，後來因為工作過於忙碌，購屋計畫目前暫緩。」
最愛至東南亞度假的藍心湄，外傳在峇里島買了一戶Villa，讓她在想放假之餘，不用訂飯店就能直接入住，相當方便，但經紀人不願證實。
主持人陶晶瑩與老公李李仁婚前常去峇里島遊玩，也曾動過在峇里島購買Villa的念頭，但是因為峇里島Villa的品質參差不齊，而且房價被過度炒作，最後作罷。
【2010-08-03/聯合報/A12版/話題】
"
2010-08-03_280,"「國十條」效應
深圳房地產 貸款量急縮
【記者汪莉絹╱東莞報導】
受「國十條」政策影響，深圳房地產貸款量急劇收縮。新政實施後，6月地產貸款額僅為1月的1成，還不到前5個月平均額的3成。
深圳銀監局日前舉行深圳銀行業2010年年中工作會議，分析上半年以來深圳經濟金融形勢，並部署下半年深圳銀行業發展和監管工作。
深圳銀監局局長熊良俊分析深圳經濟金融形勢及對銀行業經營的影響指出，今年信貸加強支援企業，上半年貸款投放主要集中在製造業、房地產業、交通運輸業和倉儲業。其中，製造業貸款增加最多，比重達18.63%，較去年同期提高9.8個百分點。
6月末，深圳房地產貸款餘額5320.83億元人民幣，比年初增加581.96億元，增長12.27%。「國十條」和深圳市等房地產調控政策陸續發布後，6月分房地產貸款僅增加22.33億元，為1月新增額的10%，前5個月月均增加額的26.89%，收縮明顯。
房地產不良貸款保持雙降態勢，6月末深圳房地產不良貸款33.1億元，比年初減少2.77億元，不良貸款率0.62%，比年初下降0.13個百分點。
熊良俊表示，下半年將繼續嚴格控制房地產貸款風險，各家銀行要嚴格執行國務院關於堅決遏制部分城市房價過快上漲的通知以及第二套住房認定標準的通知，不得放鬆標準，不要存有僥倖心理或有意無意打擦邊球，不能片面追求業務拓展放鬆要求。
【2010-08-03/聯合報/E1版/華南台商】
"
2010-08-03_323,"郎咸平 籲擴建保障房
認為不宜徵房產稅，應採「重慶模式」，放寬商品房管制。
【記者林海╱綜合報導】
著名經濟學家，香港中文大學講座教授郎咸平表示，目前大陸經濟環境並不適合立刻開徵房產稅。他更表示，加大保障房的建設，同時放寬商品房管制的「重慶模式」，將可以拯救大陸房地產。
郎咸平表示，大陸的房地產市場如同一個被石頭壓住的火山口，隨時可能出現爆發，靠調控政策很難把房價壓下去，開徵房產稅只會適得其反。
證券日報報導，今年6月上旬由大陸七部委聯合推出，通過系統工程解決房地產問題的「重慶模式」工程，重點分為三部分，一是在未來三年內，建設4,000萬平方米的公租屋，如此能解決100萬到200萬人的居住問題。
二是，2011年起，分批引導300萬農民工進城，並給予重慶戶口，而農民工要拿到重慶戶口，必須放棄宅基地複耕農地，既為公租房提供了土地，也保證了足夠的耕地面積。
三是還需加強建設IT產業集群，引入惠普、思科等知名品牌企業，並做到80%的零配件在重慶本土生產，以解決300萬入城的農民工的工作問題。
【2010-08-03/經濟日報/A13版/兩岸財經２】
"
2010-08-03_328,"《港股導航》
藍籌業績熱炒 波動將加劇
【譚家典】
恆生指數昨日收報21,412點，漲383點，漲幅1.82%，成交金額港幣629億元，即月期指收報21,422點，較現貨高水10點，呈現正價差。受到近期中國PMI數據影響，顯示中國經濟增長放緩，投資者樂觀地認為，中國決策者會開始放鬆宏觀調控的政策，並預期中國會在下半年允許銀行發放更多貸款。
昨日類股以金屬╱採礦、建築及建築材料、保健╱生物科技、工業類股表現較佳，而紡織╱服飾製造、影視╱傳媒、零售╱貿易類股則呈現下跌，表現弱勢。個股方面金屬╱採礦類股福山能源（639）漲7.8%、中煤能源（1898）漲4.4%、蒙古能源（276）漲4.1%。
隨著高房價風險逐步釋放，投資人預期中國緊縮政策逐步緩解使得建築及建築材料類股表現亦佳，如安徽海螺水泥（914）漲3.3%、中國建材（3323）漲2.7%、里安建業（983 ）漲2.5%。
走勢仍然相對落後的保健╱生物科技類股昨日出現落後補漲現象如神威藥業（2877）漲53%、中國製藥集團（1093）漲4.6%、聯邦制藥（3933）漲4.3%。
汽車類股則因利多消息不斷，如駿威汽車（203）漲7.8%、吉利汽車（175）漲5.5%。受到近期數據顯示，以及中國經濟增長放緩之負面影響；相關零售╱貿易類股如聯華超市（980）跌3.4%、佐丹奴國際（709）跌3.0%、利信達集團（738）跌2.2%。昨日大市開高盤21,221漲192點後，維持高檔震盪，收盤接近最高點收21,413點，就技術線型來看大市持續向上，目前恆指長、短期均線已經成多頭排列，如成交量持續放大，將可能挑戰前波高點22,388點。
今日觀盤重點需留意建築及建築材料類股如安徽海螺水泥（914）、中國建材（3323）、里安建業（983）是否出現漲朵拉回現象，以及金屬╱採礦類股福山能源（639）、中煤能源（1898）、蒙古能源（276）是否出現獲利回吐賣壓。
本周香港藍籌股一窩蜂公布業績，市場普遍預料業績向好，市場有望借此發起一波炒作業績的行情，有利刺激港股上升，但預料大盤波動性亦會加劇，投資者可觀望並等市場拉回時才介入。（作者是康和證券香港董事總經理）
【2010-08-03/經濟日報/A10版/香港股市】
"
