,2001-09
2001-09-04_13,"

港府暫停賣居屋


【記者劉雲龍╱香港三日電】

為了穩定房價，港府對房屋政策作出重大改變，港府政務司長曾蔭權昨天宣布停售「居者有其屋」（簡稱居屋，類似台灣的國宅）10個月，未來亦會進一步大幅減售居屋。地產商對這決定普遍叫好，但關注房屋政策的人士批評當局向地產商低頭。曾蔭權昨天下午就房屋政策舉行記者會，他說，由於金融風暴使得香港房價下跌，加上利率不斷下調，中小型私人樓宇單位與居屋單位已出現明顯的市場重壘。他表示，港府不想干預房市，亦不想讓房價繼續下滑，目前月入超過二萬港元的家庭，已有能力購買250萬港元的私人樓宇，加上九零年代初期市場對樓宇的需求估計過份樂觀，以致2001年至2003年有總共約9萬個單位落成，供過於求，房價將不斷下降，所以港府決定暫時停售居屋至明年6月底，避免與私人樓宇競爭。居屋計畫是1970年代的產物，當時香港房價上升，住屋需求亦隨人口增加而急升，港英政府透過提供較私人樓宇便宜的單位，協助中下階層置業。曾蔭權強調，暫停出售居屋，可讓政府和房屋委員會（房委會）有時間制訂長遠方案，避免資助房屋再度侵蝕私人房屋市場，亦可讓市場有喘息機會，使市場力量重新發揮作用。上月23日，長實集團主席李嘉誠要求當局大量減建居屋，其後各地產商亦紛紛表態，要求當局停售或減建居屋。曾蔭權否認港府的新措施是為了「救市」，強調停售居屋才是回復市場的正常軌道。部分房委會委員及關注房屋政策的人士批評港府屈服於地產商的壓力，房委會委員王坤認為，即使目前私人樓價比九七前下跌了一半，但仍有很多小市民無法負擔私人樓宇，如果停售居屋，私人地產商做「獨市生意」，香港市民就會任由魚肉，政府等於強逼市民買昂貴樓宇。

【2001-09-04/經濟日報/11版/兩岸2】

"
2001-09-06_47,"

珠海機電有意購買東陽土地

【本報綜合報導】

行政院會昨 (5)日通過開放陸資來台投資不動產，商用不動產市場已經有台商與陸資企業密集接觸的案例。過去曾傳出有意將土地出售給陸資企業的東陽集團，將持續與亞洲最大機電產品交易集團大陸珠海機電交易中心接觸，促其購買東陽位於台南市安平區約1.75萬坪的土地，做為營運中心。永慶房屋評估，陸資來台投資不動產，初期將鎖定商用不動產為主，並以面積大、產權集中及金額高為探測台灣市場的原則，尤其是對商用產品及高總價住宅的租賃及買賣較有興趣；至於一般住宅市場，可能要等到中期以後才能發揮帶動效應。信義房屋商仲部協理信泓浚指出，陸資來台投資不動產的標的，一定會選擇與通商、通航最密切的辦公產品介入，其他產品受惠程度將非常低，因而不能過度期望陸資來台紓解餘屋壓力；至於地區，台北市絕對是首選，台中市、高雄市機會也很高。目前也已有接觸案例。東陽集團指出，珠海機電交易中心曾探詢購買該集團台南1.75萬坪乙種工業區土地的可能，但受限於法令未鬆綁，僅止於紙上談兵階段。這次行政院通過開放陸資來台投資不動產，東陽將積極爭取與珠海機電交易中心的合作。東陽集團這筆土地正申請變更為工商綜合區。市場曾傳出，珠海機電交易中心有意以每坪8萬元的代價，向東陽買土地以建立基地。（記者張婉珍、陳信榮、宋健生、盧繼先）

【2001-09-06/經濟日報/2版/經濟要聞】

"
2001-09-07_40,"

上半年房屋市場 風雨飄搖
建投公會報告 業者推案情況比去年同期縮水一半


【記者謝梅芬╱高雄報導】





	                       		今年的房地產市場表現得十分冷清。　記者謝梅芬╱攝影
	                      







                  	  今年的房地產市場表現得十分冷清。
                  
                  

高雄市建築投資公會昨天提出一份今年上半年最新的房屋市場報告，顯示今年推案狀況冷清，與去年相比較，不僅個案銳減，在推案金額及推案戶數上分別縮減了百分之四十八點五七及百分之五十六點五七，可見建商對於後市的保守。根據建築投資公會委託江鎮廣告公司所做的統計，近五年來高雄地區推案量逐年下降，民國八十六年一百九十件，金額九百六十二億餘元，民國八十七年一百十九件，金額七百六十四億餘元，民國八十八年推出六十五案，金額三百十三億餘元，民國八十九年推出七十三案，推案金額二百八十六億餘元。今年一至七月只推出三十一案，金額一百四十七億元，如再加上八月到十二月，頂多就只能達二百億元，可說十分冷清。如以每戶的平均總價來看，五年前每戶平均總價是五百八十五萬餘元，民國八十七年七百廿八萬元，民國八十八年六百廿七萬元，八十九年五百四十八萬餘元，但今年總價卻上漲到六百四十九萬餘元，今年比去年上揚百分之十八點四三。一般人不解的是經濟不景氣，房地產市價滑落，但今年的平均總價卻上揚，主要是今年上半年，高雄地區推出的新案以透天厝為多，透天厝的總價略高，才使得平均總價上揚。高雄市建築投資公會理事長郭敏能昨天向到場聆聽房屋市場分析的會員信心喊話，強調明年初景氣一定會好轉，希望大家要有信心。

【2001-09-07/聯合報/17版/高澎新聞】

"
2001-09-10_31,"

正確推案策略奏效 廠辦市場打響名號
皇鼎建設獲利已達全年62.15%


【記者李梅瑛╱台北報導】

皇鼎建設開發股份有限公司自行結算前八月累計營收新台幣14.44億元，稅前盈餘3.12億元，分別達成全年財測目標25.32億元的57.04%，以及獲利目標5.02億元的62.15%，每股稅前淨利2.48元。皇鼎建設是北部地區高科技廠辦大樓的主要供應商，儘管近年來房地產市場景氣低迷，但皇鼎建設87年至89年每股稅後盈餘卻高達4.63、4.66及5.26元，獲利領先同業。皇鼎建設主要個案有「世紀國寶」、「宏鼎科技」及「富頂科技」等皇鼎成功主因在於「正確的推案策略」，鑑於國內餘屋量體始終居高不下，且國人自有住宅比例逐漸攀高，相對使得住宅市場經營日趨不易，皇鼎自84年起即毅然地轉變經營方向，首度於北縣汐止地區推出第一個廠辦個案-「亞太經貿中心」，正式進軍廠辦市場。  86年皇鼎介入北市內湖六期高科技園區開發，迄今陸續推出十多個個案，主要供應高科技、生化科技或策略性工業等廠商所需建築。

【2001-09-10/經濟日報/33版/商情資訊】

"
2001-09-10_8,"

開放陸資投資房市 若無配套只是口惠

政府畫大餅 台商信心大增 忙與大陸企業交流 中看未必中用 有優惠減免 陸資流入意願才高


【記者葛珮育╱專題報導】





	                       		築夢
「台北曼哈頓」信義計畫區是大陸商務考察團必訪之地，此區的辦公大樓包括興建中的台北國際金融大樓，租金水準可能隨陸資來台而水漲船高。　記者葛珮育╱攝影
	                      







                  	  築夢
「台北曼哈頓」信義計畫區是大陸商務考察團必訪之地，此區的辦公大樓包括興建中的台北國際金融大樓，租金水準可能隨陸資來台而水漲船高。
                  
                  

七月的台北艷陽天，一輛大型巴士停在車信義計畫區，七、八位來自上海、深圳的房產局官員與建商，在「紐約紐約」購物中心前的小廣場，瞇著眼看著正在興建的台北國際金融大樓，指指點點這被喻為「台北曼哈頓」的地區，一坪房子居然可以賣到新台幣一百萬元。台灣人若不買 大陸幹嘛投資不動產顧問公司總經理的領隊，述說著台北信義計畫區未來的榮景與不動產市場，「大陸對台灣房地產有沒有興趣」？隨口問著。幾位大陸人士想了想，反問「你給我個理由吧」！不到兩個月，行政院通過開放陸資投資台灣不動產、土地市場，運作政策鬆綁已久的建商們，終於鬆了一大口氣。不過，期待活水的台灣房地產，真的會因此久旱逢甘霖嗎？大陸資金真的對台灣不動產有興趣嗎？就在行政院公布訊息後，北京傳來一條新聞，是經營大陸地產近十年的台商，觀察大陸方面的反應，很直接的說「台灣不動產如果連台灣人都不投資，大陸幹嘛要來投資」？這樣的說法，也出現在今年買氣熾熱的北京房展會。政策會不會流於口惠而實不至，說穿了，還是要看台灣能不能營造出合適的投資環境。兩岸將先後加入世界貿易組織，經貿關係更形緊密，大陸對台商的磁吸效應，連主政十二年的國民黨官員都認同，今天政策鬆綁陸資來台投資不動產與土地，卻只為大陸資金開了一扇小窗。辦公大樓價值 首重企業進駐雖然如此，產業界已經信心大增，抓緊九月底在香港、北京兩場陸資企業與台灣建商的交流機會，希望引入活水。在政策明朗化以前，兩岸建商的互動僅在◆面下，政策敲定後台灣建商公開募資，尋找合作夥伴的管道更為暢通，只不過台灣不動產市場價跌量縮，近兩年來建照核發面積年年縮減，哪一種不動產產品才合陸資的心意，不久就可以從數字顯現出來。根據專業不動產顧問公司的評估，商用不動產如辦公大樓、出租商務住宅是首波受惠的對象，其中高級辦公大樓被列為外資投資台灣不動產市場的首選。辦公大樓的前景，建立在國際企業進駐台灣設點、市場需求強勁之上，整棟買入再出租長期獲利，國泰人壽、新光人壽已多年採取此經營策略。衛明不動產總經理蔡為民以外商赴大陸投資為例，不動產的需要依序是租賃辦公室與住宅，再來是買進辦公室或住宅，最後在見證了不動產上漲的力道後，才加碼投資。例如上海金橋區有處五十棟木造別墅的小社區，每戶月租金一萬美元，貴得嚇死當地人，但外商一擲千金，面不改色，但如果建議外商「轉租為買」，十有八九認為並不划算。原因在於外商持有不動產的心態是基於需要而非獲利，既然房子、土地都帶不走，而且還看不出上漲潛力，買不如租。台灣投資效益 不如北京上海以此類推，陸資對台灣不動產的興趣，清楚可見。除非台灣不動產市場獲利率佳，否則受惠的當只限於辦公大樓或商務住宅市場。瑞普國際物業分析目前北京、上海、香港、台北的辦公大樓投資收益率(Yield Rate) 依序是百分之十三點二、百分之十一點六、百分之五點五、百分之六，以資金往高收益率流動的常識來看，台灣要有配套的優惠減免措施，陸資來台的意願才會更高。事實上，政策不是阻礙投資的最大石頭，只要相中獲利前景佳的標的物，早已有陸資化身港資來台布局。熟悉內情的不動產人士指出，香港在回歸大陸之前，房地產在陸資的炒作下一日三價，回歸後則跌到幾近腰斬，各界對陸資「炒樓」的能力因此刮目相看，而經過這波洗禮獲利的陸資，夾著香港經驗與外商夥伴，早就透過管道進入台灣市場。那麼，台灣會不會循著香港模式，在陸資炒作下暴起暴落？瑞普國際物業總經理曾東茂認為台灣步香港後塵的機會不大，因為當年大陸各單位多有不必上報的「小金庫」，連軍警、學校單位內部都有以公家單位或是個人名義申請的企業戶頭，這些游資陸續進入香港不動產市場，聯手將不動產價格炒高。但朱鎔基執行宏觀調控，清查各單位「小金庫」後，陸資炒作的力道大減。若乏投資誘因 陸資仍會觀望部分陸資化身港資，進入台灣不動產市場目的不在「炒樓」，而是尋找開發香港以外的不動產投資標的。曾東茂表示，大陸對購買國外不動產有相當嚴格的管制，而且與台灣、香港不動產市場相比，大陸城市也多有不錯的不動產投資標的，除非台灣不動產市場別具投資誘因，否則短時間內陸資還是處於觀望期，不會迅速進入台灣市場。而台灣不動產還將面臨 AMC 資產管理公司的價格破壞，諸多外商證券機構因此看好開放陸資政策，卻仍看空不動產市場，畢竟整個台灣不動產市場問題在住宅產品，市場高達一百萬戶的空屋量，問題複雜、地點分布又廣，基本面問題短期難解。

【2001-09-10/聯合報/11版/財經】

"
2001-09-11_25,"

中部建商拉攏台商置產

【記者宋健生╱台中報導】

隨著政府決定開放陸資來台投資不動產，中部建商最近也積極拉攏大陸台商返台置產，位於七期新市政中心的部分頂級住宅個案，台商購屋比例甚至高達八成，儼然成為新的購屋主流。在一片不景氣聲中，中部業界最近發現，台商返台置產的比例明顯增加，顯示經發會召開後，包括戒急用忍政策鬆綁，以及開放陸資來台投資不動產，均讓兩岸互動氣氛有和緩趨勢，台商返台購屋意願也跟著提昇。市調顯示，台中七期新市政中心的頂級豪宅，仍是現階段台商的最愛，聯聚和平大廈、「天璽」、「國際音樂廳」、「理性與感性」、「國家賞」等都有台商購屋的蹤影，像聯聚和平大廈及「國際音樂廳」，台商住戶約占三成，各社區甚至成立台商聯誼會的組織。精銳建設總經理徐日新指出，以往精銳在七期推案，多鎖定中小企業主為主要客層，但今年初銷售「市政之星」時，台商購買組數明顯增加，比率約佔二成多，到了最近的「國家賞」，台商購屋比率一舉突破八成。聯聚建設總經理江韋侖認為，近一年來經濟不景氣，連帶讓國內頂級購屋客縮手，反觀前幾年到大陸發展的台商，由於遠離國內經濟風暴，加上大陸投資陸續開花結果，自然成為今年頂級住宅市場的新寵。看好台商的購屋實力，推案建商也積極採取主動做法，將促銷戰線延伸到對岸。聯聚建設今年初邀請上海老人爵士樂團到台中演出，並在台北往返香港、澳門的飛機上刊登廣告，不但在市場上造成話題，也吸引許多台商的目光。徐日新最近藉由服務已購客戶的機會，親自到東莞、中山、珠海等台商聚集的地方拜會，既為下一件新案開拓客源，也實地了解台商資訊取得的管道。徐日新說，精銳建設預計下月，在香港、澳門及往來東莞等地的高速公路或直通巴士上，推出大型廣告看板，並藉由當地台商聯誼會發送宣傳品，直接向台商促銷房屋。

【2001-09-11/經濟日報/37版/商業要聞】

"
2001-09-25_27,"

中秋賞月要經濟也要好玩

救國團各中心活動精彩住宿優惠

【記者林秀芳╱台北報導】

救國團各青年活動中心中秋節紛紛推出慶祝活動及住宿優惠。金山中心九月三十日推出卡拉OK歌唱聯歡，以及露營泡湯特惠案情人套餐。復興中心三十日推泰雅童玩製作DIY，房價七折附早餐。日月潭中心即日起至十月一日推出邵族風情舞中秋，預約享九折優待，附燭光套餐兩人份。阿里山中心九月二十九至十月一日推青少年藝文研習活動，中秋房價六折優惠。曾文中心三十日推南瀛賞月親子嘉年華。梅山中心九月二十九至十月一日推布農文化饗宴，當日住宿及咖啡座八折。澄清湖中心九月二十九至十月一日推洛克馬極速挑戰營，住宿八五折。西子灣中心九月三十至十月一日推月光舞會慶中秋，住宿優惠並贈送海洋奇珍園優惠券。墾丁中心三十日推慶中秋晚會，住宿超值優惠並附牧場牛奶。天祥中心二十九至三十日有免費原住民歌舞及咖啡座五折優惠。澎湖中心二十九日有親子聯歡，二十八日住宿送住宿折價券及咖啡券。金門中心KTV慶佳節二十九至三十日推住宿折扣。天祥中心的天祥晚會由該中心泰雅原住民職工演出，並免費提供製作竹筒飯材料，義務教導遊客自製竹筒飯，現場立即烹煮，趣味十足。澄清湖中心三十日晚上起有青春月光營火晚會，有高空瀑布煙火、團康活動、流行熱舞、熱門動唱、青春飆舞等活動，白天又有體能訓練、高空滑水及游泳等場地，適合親子同遊，救國團事業處特別推薦這兩處中心。訂房詢問電話（○二）二五○二五八五八轉事業處。

【2001-09-25/聯合報/35版/消費 ．旅遊休閒】

"
2001-09-25_32,"

《商業脈動》
未遭水患地區 房價硬挺


【記者張婉珍╱台北報導】

納莉颱風造成的風災再度重創大台北部份地區房市，不過這次未遭水患波及的地區，如北市信義路、和平東路、北縣板橋新站周邊、新莊新泰路、中和景平路一帶，已經成為支撐區域房價的主要關鍵。永慶房屋指出，這次水患嚴重的地區，包括汐止、南港及舊東湖一帶，區域房市短期內交易停滯，在基隆河完成整治前，房價恐怕仍會繼續下探一至兩成，可說是大台北地區的新谷底區。永慶房屋表示，許多未淹水的地區，近來反而因為這項優勢，使得交易行情獲得有利支持。例如台北市大安區信義路三段、和平東路一段、中正區仁愛路一、二段、文山區羅斯福路沿線、指南路、木新路二段、內湖區陽光街、瑞光路。北縣則有板橋新站地區、文化路一段、新埔地區、新莊新泰路、中正路、中和景平路、中山路二段等、新店市北新路、中正路等。至於台北市區及市郊，這次也多受波及，不過因為這些路段並非位於低窪地區，加上地點遠離河岸，多半是第一次淹水，只要淹水原因排除後，未來再度淹水的機率並不高。因此，這次風災對於當地的房價衝擊僅屬短期性，預估恢復日常作息之後，市場買賣便可回歸常軌。力霸房屋也指出，遭淹水的區域如松山、內湖及信義等地，短期內當地交易狀況雖然會大受影響，造成區域房價波動，交易速度遲緩，議價空間拉大，但由於當地生活機能強、交通便利，雖然遭逢水患，但房價仍可望回穩。

【2001-09-25/經濟日報/37版/商業要聞】

"
2001-09-25_6,"

〈專家談理財〉
信任專家 
儘早規劃資產
陳大鶚
(寶島銀行銷部副總經理)


【李錦珠
】

「人不理財，財不理你」是督促現代人要妥善規劃資產的經典句。寶島銀行陳大鶚說，理財有很多種方式，理財技巧高的投資人可以自己DIY；不善於規劃資產配置者，則可以循投資基金的方式進行；最忌諱的就是毫無計畫，讓自己的錢財流失於無形。景氣很差，賺錢更是困難，上班族領死薪，又可能隨時面臨失業，好好管理自己的帳戶，讓資金隨著時間而長大，是預防屆時斷炊的最好措施。陳大鶚至今的工作經驗都在金融圈累積，從農民銀行、大眾銀行到寶島銀行，工作內容都與錢脫不了關係，正因為如此，在「錢事」上，他看得比一般人更深入，也及早開始規劃資產配置。陳大鶚認為，一套好的理財計畫，內容必須包括保險。保險觀念日益普及，少數人還是覺得保險是「賠錢貨」，陳大鶚說，「有保險作後盾，作任何事才能無後顧之憂」。儘管現在有投資型保單，陳大鶚分析，投資型保單獲利有限，投資人不宜投入大筆資金作為主要理財工具；他同時建議投資人，最好把保險與投資理財分開。陳大鶚始終認為，理財是專業技能，因此已經習慣把資金交由專家操刀。漸為投資大眾所接受的基金是陳大鶚最主要的理財工具，較一般投資人優勢之處在於，陳大鶚常有機會接觸基金公司以及基金經理人，相關資訊接收容易；因此投資之前，陳大鶚也會自己作功課，約略了解市場動態，再加上理財專家建議，選擇投資標的。陳大鶚說，事前工作作得再好，他的投資理財計畫也不能保證穩賺不賠，不過，優點是，當市場瀰漫沉重空頭氣氛時，穩健的投資組合卻發揮抗跌效果，稀釋虧損程度。另外，陳大鶚投資基金的方法是「定額不定期」，市場走勢瞬息萬變，掌握市場由弱轉強的時機進場，獲利更為可觀，一般定期定額投資人，若遇上一次大虧損，獲利就整個攤平。陳大鶚說，他習慣把資金累積到一定數字後，再委由專家加以投資布局，不過，這種方式較適用於對市場動態頗能掌握的投資人。陳大鶚另外提醒投資人，即使房價一再走低，以目前市場供需狀況看來，房地產已經不再適合作為投資工具，若是作為自住使用，現階段是購屋的好時機。投資不應局限管道及形式，陳大鶚指出，其實「出國」也是另一種形態的投資，因此，他為孩子設立基金信託帳戶，也定期帶孩子出國增長見識，他說，現在職場競爭激烈，上班族最好時常充電，累積實力，不論是出國增長見聞，或是加強第二專長，都是投資。

【2001-09-25/經濟日報/42版/非常經濟】

"
2001-09-26_16,"

北區房仲提供淹水資訊

【記者龍益雲╱桃園報導】

納莉颱風帶來豪雨，水患影響房價甚鉅，利奇馬颱風又緊追而來，桃園、新竹地區最大的北區房屋仲介公司昨 (25) 日提供182處淹水社區、復原狀況及安檢泡水屋的措施，協助民眾避險並刺激購屋信心。

【2001-09-26/經濟日報/12版/商業要聞】

"
