,2002-01
2002-01-01_118,"

零售流通服務業 新年度新氣象

房市成交看多 行情難走高
降稅效應 市場可逆勢成長 空屋率高 房價可能走跌


【記者張婉珍╱台北報導】

去年第四季房地產市場出現許久未見的回溫盛況，房地產業者預期今年在降稅效應以及資產管理公司（AMC）加速處理逾放屋的帶動下，房地產市場可能出現逆勢成長的局面，市場交易量可望有10%至15%成長空間；惟房價走勢仍不太可能就此「平步青雲」。信義房屋企研室協理張欣民指出，90年台灣房地產市場整體市況仍然呈現「低檔盤整」、「上下震盪」及「量縮價跌」的局面，除了上百萬戶的空餘屋賣壓之外，還受到國內政局動盪不安、股市重挫、颱風水患、美國911事件、經濟嚴重衰退等因素的影響。根據內政部統計，去年台灣地區房屋交易件數為25.8萬件，與前一年的32.1萬件比較，出現19.7%的負成長，也是85年以來連續五年國內房屋交易量萎縮。不過，今年第四季房屋市場卻出現難得一見的交易熱絡景象，似有「跌深反彈」的趨勢。展望新年度，就各項政經與市場指標來看，今年房地產市場應該會比去年好，尤其是加入WTO的提振效應、擴大公共投資、戒急用忍政策鬆綁、土增稅減半、不動產證券化、開放外資及陸資購買不動產等等利多，整體利多因素明顯多過利空因素。然而，要注意的是，加入WTO可能帶來另一波失業潮；戒急用忍政策鬆綁可能引發更多產業外移；土增稅減半亦可能促使房價進一步下跌，這些都會抵消掉原本的利多因素；加上市場上空餘屋賣壓仍大、AMC處理逾放屋的陰影仍在，因此房價要走升並不容易。但也因為土增稅減半及加速處理銀行逾放屋兩大力量的推擠，今年房屋市場的成交量反而可能逆勢成長，可望出現一成到一成五的成長空間，屆時將是85年來首次出現正成長。張欣民強調，這些提振房屋交易量的因素，同時也是引導或迫使房價進一步下跌的動力之一。特別是在主計處戶口普查後所顯示國內高達123萬戶餘屋的高空屋率，更加深市場對於房價可能續走跌的疑慮，因此今年房價的走勢仍難以樂觀；尤其是高空屋量或是高空屋率的地區，房價更可能會有下修的壓力。

【2002-01-01/經濟日報/12版/商業要聞】

"
2002-01-01_19,"零售流通服務業 新年度新氣象
房市成交看多 行情難走高
降稅效應 市場可逆勢成長 空屋率高 房價可能走跌
【記者張婉珍╱台北報導】
去年第四季房地產市場出現許久未見的回溫盛況，房地產業者預期今年在降稅效應以及資產管理公司（AMC）加速處理逾放屋的帶動下，房地產市場可能出現逆勢成長的局面，市場交易量可望有10%至15%成長空間；惟房價走勢仍不太可能就此「平步青雲」。
信義房屋企研室協理張欣民指出，90年台灣房地產市場整體市況仍然呈現「低檔盤整」、「上下震盪」及「量縮價跌」的局面，除了上百萬戶的空餘屋賣壓之外，還受到國內政局動盪不安、股市重挫、颱風水患、美國911事件、經濟嚴重衰退等因素的影響。
根據內政部統計，去年台灣地區房屋交易件數為25.8萬件，與前一年的32.1萬件比較，出現19.7%的負成長，也是85年以來連續五年國內房屋交易量萎縮。
不過，今年第四季房屋市場卻出現難得一見的交易熱絡景象，似有「跌深反彈」的趨勢。展望新年度，就各項政經與市場指標來看，今年房地產市場應該會比去年好，尤其是加入WTO的提振效應、擴大公共投資、戒急用忍政策鬆綁、土增稅減半、不動產證券化、開放外資及陸資購買不動產等等利多，整體利多因素明顯多過利空因素。
然而，要注意的是，加入WTO可能帶來另一波失業潮；戒急用忍政策鬆綁可能引發更多產業外移；土增稅減半亦可能促使房價進一步下跌，這些都會抵消掉原本的利多因素；加上市場上空餘屋賣壓仍大、AMC處理逾放屋的陰影仍在，因此房價要走升並不容易。
但也因為土增稅減半及加速處理銀行逾放屋兩大力量的推擠，今年房屋市場的成交量反而可能逆勢成長，可望出現一成到一成五的成長空間，屆時將是85年來首次出現正成長。
張欣民強調，這些提振房屋交易量的因素，同時也是引導或迫使房價進一步下跌的動力之一。特別是在主計處戶口普查後所顯示國內高達123萬戶餘屋的高空屋率，更加深市場對於房價可能續走跌的疑慮，因此今年房價的走勢仍難以樂觀；尤其是高空屋量或是高空屋率的地區，房價更可能會有下修的壓力。
【2002-01-01/經濟日報/12版/商業要聞】
"
2002-01-01_3,"

去年第四季 房市成交數 近兩年新高
議價幅度減少 去化天數降至66天 顯示景氣底部已現


【記者葛珮育╱台北報導】

股市以紅盤封關，房市也在歲末傳出佳績。預售市場在建商適度配合降價之下，成交量同步揚升，中古屋市場也以成交件數創下兩年來新高、議價幅度創兩年來新低等指標，畫下完美句點。
去年最後一周的北台灣預售市場，在天氣回暖的帶動下，各接待中心出現不少看屋人潮，建商適度配合降價也帶動成交速度加快；中部預售市場則在台商進場之下，中高價位別墅賣出好成績。租售報導企研室表示，農曆年即將來臨，預計推案建商加碼廣告的手筆不大，但是民眾購屋的信心明顯轉濃，看屋人潮與成交量，預期能維持不錯的水準。
中古屋市場部分，代表房市交易熱絡程度的房地產成交件數，連續七季以來，成交件數大致呈現下滑走勢，並以八十九年第三季下滑幅度最大，達百分之十三。去年第四季在增撥兩千億元房貸的利多政策，以及選後股市效應引導房市升溫的拉抬之下，成交件數才回升，反而創下近兩年新高紀錄，季增率達百分之九點八。
而去年第四季的去化天數，已經比第三季大幅縮小百分之十五點六，平均天數降到六十六天，是近兩年來的次低水準，顯示買氣縮手的現象已緩和。
永慶房屋企研室指出，房市底部已現，雖然今年有AMC等房市不確定因素，但只限局部性影響，未來房價大幅下探的機會十分有限。
去年前十月 建照核發減%  【記者華英惠╱台北報導】行政院主計處昨天發布國情統計通報指出，去年一至十月台閩地區核發建築物建照執照一千七百四十八萬平方公尺，較前年同期衰減百分之四十一點六，顯示營建業景氣仍未見回升。主計處表示，去年一至十月有關建築業的各項統計並不樂觀，如核發建築物使用執照二千六百零六萬平方公尺，較前年同期減少約一成，主要是受近年建築業不景氣影響，使國內房屋市場供給明顯減少。就用途別觀察，核發建築物使用執照中，住宅六百九十二萬平方公尺，較前年同期衰減二成，至於商店三百五十五萬平方公尺，較前年同期減少百分之三十一。

【2002-01-01/聯合報/21版/財經焦點】

"
2002-01-01_34,"《生活贏家》
廣結善緣 注重行銷 加強專業領域
用心深耕 謝明宏售屋收入反增
【本報記者陳智華】
大環境不景氣，不動產仲介業也深受影響，不過對仲介經紀人謝明宏來說，影響不大，八十九年賣房子成交金額達一億三千萬元，九十年增為一億五千萬元。謝明宏說：「對屋主服務用心，加上長期深耕，就可不受不景氣影響。」
民國七十八年進入不動產仲介業的謝明宏表示，這一波不景氣不論對同業或房仲業都有很大的影響，因為消費者換屋的意願大大降低，銷售房屋的單價也下滑，成交率從六成降為三成，成交時間卻從四十天增為六十天，一切因素都變得不利，因此不少人退出，連店面都減少了。
不過謝明宏指出，要安然度過不景氣，也非不可能，就要看自我調整的速度。謝明宏認為，比起七十九年股市從一萬兩千點跌到兩千點及八十四年中共打飛彈，這一波不景氣對房地產的影響並不算太糟，而他從前兩次學了不少教訓，已調整心態來因應這一波不景氣，還將不景氣化為優勢：競爭者變少，生意更好做。
謝明宏認為對客戶用心，採取長期深耕的態度非常重要。他表示，不景氣，房屋不好賣，主要是價格談不攏，他會詳細蒐集待售房屋附近成交行情，勸屋主接受合理房價。當然行銷不可少，學美術的他會替待售屋主布置，或建議屋主花錢請清潔公司打掃，增加成交率。
謝明宏說，售屋除了在平面媒體作廣告外，他也會盡快將訊息上網，增加曝光率，也吸引賣屋的客人；星期六日或假日，更直接到現場服務，這種措施往往吸引不少附近的民眾來看屋，效果也不錯。
謝明宏認為將經營眼光看遠，也讓他成功。他表示，即使第一次交易無法成功，他對客戶一樣用心，也不會改變原來的態度，因此不少人下次會找他服務，或介紹親友，這種深耕客戶的方式，讓他客戶可以源源不絕。
此外，對謝明宏來說，周遭都是機會。謝明宏表示，他曾在捷運上讓位給一位老太太，兩人聊聊天，老太太向他要了一張名片，結果因為有房子要賣，他接到一筆生意。類似情形還包括：一位老先生曾在店外徘徊，他詢問後發現，原來老先生需要用電話，就熱心招呼，結果半年後老先生有需要賣屋，回來找他。謝明宏認為，雖然不主動遞名片推銷生意，隨時結善緣，機會也變多了。
隨著台灣加入WTO，謝明宏看到了商機，那就是外商也可在台灣買房地產，不過英文就更重要，為此謝明宏已加緊腳步學習，同時再加強專業領域。謝明宏表示，當一個房屋仲介經紀人，要懂得很多，除了建築法、土地法、民法、稅法等相關法律，甚至也要懂風水，他每天至少花一小時閱讀，充實自己，以迎接挑戰。
【2002-01-01/聯合報/19版/都會萬象】
"
2002-01-01_39,"瓊麻園城鄉文教發展協會活動 四十未婚男女報名參加
緣訂恆春城跨年晚會 拋繡球
【記者徐富癸╱恆春報導】
屏東縣瓊麻園城鄉文教發展協會昨晚舉辦「緣訂恆春城」跨年晚會，有四十位未婚男女報名拋繡球活動，墾丁地區各大飯店也推出跨年活動，讓遊客共享歡樂氣氛，共同迎接二○○二年來臨。
瓊麻園文教基金會結合恆春地區人文資源，昨晚在恆春警分局前廣場舉辦跨年晚會活動，主辦單位開放廿五歲以上單身男女報名拋繡球活動，獲得熱烈迴響，有近四十人報名參加，且女性參加人數高於男性，大家在台下頻頻加油打氣。
現場動用雲梯車載未婚女性往上昇，台下則有十餘位男生引頸期待等著接繡球，第一位女性很大方，看準對象就丟下繡球，但無人接到，最後有一位男生撿起，贏得熱烈掌聲，第二位女性上台拋繡球時，她發現台下的男生年紀大都比她小，在上面猶豫半天，不敢把繡球丟下來，還一度想要擲向觀眾席， 現場響起陣陣歡呼聲，場面熱絡。
墾丁福華飯店昨天起推出「馬車接送情」活動，每人只要花一百元，即可騎坐馬車繞行飯店，另有跨世紀跨年吃喝玩樂嘉年華超值套裝組合，昨晚住宿可享特別優惠，另加贈元旦住宿一晚，房客每人付九百九十九元，即可享受溫馨跨年饗宴及跨年舞會。
墾丁凱撒飯店跨年歡慶活動，昨天進住的房客，可享平日房價的優惠，白天參加射水果大賽、舞會面具彩繪等活動，晚間九時四十五分至凌晨零時卅分，在戶外啤酒屋有跨年之夜現場演唱活動，大家共同倒數計時，迎接新年來臨；悠活麗緻渡假村推出「五顏六色過新年」，有步步高昇、新年動起來、單車萬里行等活動。
星際碼頭科幻主題樂園舉辦墾丁二○○二年跨年舞會，昨晚八時卅分起一起狂歡至隔天凌晨二時，現場邀請國內知名舞蹈團體演出街舞，也有奇幻星空魔術秀、安室奈美惠模仿秀表演，讓愛秀、愛玩、引領風騷的新新人類狂歡一整夜，大家也共同倒數計數。
【2002-01-01/聯合報/18版/屏東縣新聞】
"
2002-01-01_63,"去年第四季 房市成交數 近兩年新高
議價幅度減少 去化天數降至66天 顯示景氣底部已現
【記者葛珮育╱台北報導】
股市以紅盤封關，房市也在歲末傳出佳績。預售市場在建商適度配合降價之下，成交量同步揚升，中古屋市場也以成交件數創下兩年來新高、議價幅度創兩年來新低等指標，畫下完美句點。
去年最後一周的北台灣預售市場，在天氣回暖的帶動下，各接待中心出現不少看屋人潮，建商適度配合降價也帶動成交速度加快；中部預售市場則在台商進場之下，中高價位別墅賣出好成績。租售報導企研室表示，農曆年即將來臨，預計推案建商加碼廣告的手筆不大，但是民眾購屋的信心明顯轉濃，看屋人潮與成交量，預期能維持不錯的水準。
中古屋市場部分，代表房市交易熱絡程度的房地產成交件數，連續七季以來，成交件數大致呈現下滑走勢，並以八十九年第三季下滑幅度最大，達百分之十三。去年第四季在增撥兩千億元房貸的利多政策，以及選後股市效應引導房市升溫的拉抬之下，成交件數才回升，反而創下近兩年新高紀錄，季增率達百分之九點八。
而去年第四季的去化天數，已經比第三季大幅縮小百分之十五點六，平均天數降到六十六天，是近兩年來的次低水準，顯示買氣縮手的現象已緩和。
永慶房屋企研室指出，房市底部已現，雖然今年有AMC等房市不確定因素，但只限局部性影響，未來房價大幅下探的機會十分有限。
去年前十月 建照核發減%
【記者華英惠╱台北報導】行政院主計處昨天發布國情統計通報指出，去年一至十月台閩地區核發建築物建照執照一千七百四十八萬平方公尺，較前年同期衰減百分之四十一點六，顯示營建業景氣仍未見回升。
主計處表示，去年一至十月有關建築業的各項統計並不樂觀，如核發建築物使用執照二千六百零六萬平方公尺，較前年同期減少約一成，主要是受近年建築業不景氣影響，使國內房屋市場供給明顯減少。
就用途別觀察，核發建築物使用執照中，住宅六百九十二萬平方公尺，較前年同期衰減二成，至於商店三百五十五萬平方公尺，較前年同期減少百分之三十一。
【2002-01-01/聯合報/21版/財經焦點】
"
2002-01-02_120,"房仲業年終開紅盤 成交量大增
上周工地看屋人潮熱絡 信義房屋12月業績逾2.1億元 創新高
【記者張婉珍╱台北報導】
90年12月房市開出紅盤，不但年底封關當周各工地來客量及成交量大增；多家房仲公司第四季業績也出現大幅回升的盛況，信義房屋12月業績更創下該公司成立以來最高單月業績紀錄。
去年房地產市場歷經一至三季的低迷景象，進入第四季以後開始回溫，尤其愈到年底、房屋銷售狀況愈佳。分析其原因，除了選後政局趨穩、股市上漲、預期房價下跌空間不再，房貸利率創新低等也是近期支撐房市的主要因素。
根據租售報導企研室指出，上周（12月24日至30日）封關當周，各工地現場看屋人潮大增；加上業者適時配合降價提高誘因，成交量也同步提升。
調查發現，北縣及桃園一些500萬元以內的低總價個案，在3.15%低利貸款的刺激下，當周來客量一舉突破百組；不少個案更創下兩位數以上的成交戶數。
房仲公司12月份業績也屢傳捷報，信義房屋去年12月業績高達2.1億元，創下該公司成立20年以來最高單月業績紀錄，也是近年來少見的「天」量。
信義房屋發言人周莊雲表示，由於選前遞延買氣逐步釋放、選後政局趨穩定、股市勁揚、傳統年底旺季等多項因素帶動，12月國內房市的成交總量出現將八成以上的月成長率，部分區域更出現倍數以上的成長。
周莊雲說，信義房屋12月業績逾2.1億元，較11月1.2億元大幅成長超過82%。尤其12月31日當天，該公司總公司簽約中心待簽約客戶就高達70多組，一位代書甚至以「簽約簽到手痠」，形容交易熱絡的景象。
北區房屋首席總經理彭培業也指出，北區房屋今年下半年佣金收入較上半年大幅成長四成以上；尤其從下半年開始，北區房屋在桃竹苗各地的直營處所，每月成交戶數已恢復核四爭議前的水準，顯見第四季房地產買氣確實有增溫的跡象。
彭培業說，目前國內房地產價格已跌至谷底，短期內雖無法大幅反彈上漲，但因為銀行存款利率大跌，優惠房貸效應發酵，長期資金漸有轉進不動產投資的趨勢，可說是近來買氣加溫的原因。
根據永慶房屋調查，去年第四季的議價幅度已較第三季大幅縮小18%；去化天數也較第三季大幅縮小15%，降至平均66天，為近兩年來次低水準，顯示過去買賣萎縮的現象已經逐漸和緩，物件流通速度也明顯加快。
信義房屋分析指出，綜觀去年12月的國內房市表現，政治面的穩定及經濟面好轉，是導致全面回升的主要因素，部分區域如北縣、桃園等則由於房價跌幅較大，吸引大批買方逢低進入，造成推波助瀾之效。在部分區域跌深反彈以及全區逐步回升的綜合效應下，91年的房地產交易應是榮景可期。
北區房屋不動產研究室也預估，今年農曆年前仍會有一波自住型買氣進場，屆時不動產復甦力道將更加明顯。
【2002-01-02/經濟日報/32版/綜合產業】
"
2002-01-02_27,"崔佩儀歡喜遭套牢
和男友賭城倒數計時跨年 互訂盟約
【記者粘嫦鈺╱台北─拉斯維加斯報導】
崔佩儀離開台灣一個多月，隨著男友Sam走遍德國、西班牙和法國等地，而一起在賭城跨年，倒數計時之前，男友拿出準備多時的鑽戒，把她「套牢」，崔佩儀則心甘情願的接受這分新年禮物，她說，今年內會辦喜事，且一定回到台灣舉行。
有感於同輩女星逐漸淡出幕前，加上她去年拍的兩齣戲「向日葵」、「桂花巷」都擺冰箱，崔佩儀覺得自己快被「淘汰」，情緒一度低落到最低點，想到家有老母、股市套牢、房價慘跌，心情惡劣，幾乎要得憂鬱症。
此時，遠在德國任職西門子業務經理的Sam鼓勵她到德國走走，崔佩儀在此之前以為兩人距離太遠，遲早吹掉，沒想到這一趟歐洲行，改變了她很多想法，男友體貼溫柔，努力學中文，兩人共同生活一個多月，發現彼此距離愈來愈近，想要生活在一起的感覺，愈來愈強烈。
Sam的家人都住在賭城，但他工作在慕尼黑，崔佩儀日前陪著他在零下十九度的地方，體驗到酷寒滋味，也動念勸男友申請調職到大陸工作，她最想住的地方是上海，這樣就可以把母親接來一起住了。
【2002-01-02/聯合報/27版/影視廣場】
"
2002-01-02_37,"股市紅盤封關 帶動房市回春
一個月來 人氣回籠 也有小量成交 業者躍躍欲試
【記者李青霖、謝梅芬╱連線報導】
去年股市亮麗封關，站上五千五百點，連帶也帶動了房地產市場，新竹地區房地產業者指出，這一個多月來，看房子的人多了，也有小量成交；高雄市房地產市場也漸活絡，立委選後成交量已提升兩成，業界指出，這個時候「買房子比租還便宜」。
新竹佳河建設公司董事長陳明河表示，這一個月來，房市明顯有起色，最近看房子的人數，遠較數月前增加數倍，還有不少科技人看房子。
高雄房地產業者也說，目前在高雄市的小港、楠梓及高雄縣的鳳山，透天厝的市場相當看好，根據業者估計，不論是來客率或成交率，都至少有兩成以上。
陳明河表示，拜科學園區與工業區之賜，新竹地區房市一向在全省稱冠，房價不太調降，不過，這波不景氣，已讓業界泣血出售，以一般大樓或透天厝來說，每坪售價在十三萬到十四萬之普，現在每坪只賣八、九萬元左右，足足省下百餘萬元。
建商為刺激買氣，多半會送裝潢與廚具，還有各項優惠。陳明河說，財政部為了刺激房市，最近通過購屋者有兩百萬元額度的低利率，月付五千兩百五十元即可，以貸款四百萬元計，月付一萬五千五百元，就可以擁有一棟五十坪到六十坪的樓中樓，再加上建商提供百分之十的無息貸款，真是買比租還划算。
新的一年，業者對已經沈寂多時的房地產市場，躍躍欲試，也預估今年建築市場比往昔更好。
【2002-01-02/聯合報/19版/省市生活 新聞】
"
2002-01-02_6,"房地產喚回春燕 投資客可布局
房價跌到十年來低點 房租仍居高檔 店面租金報酬率可達6%
【記者張婉珍╱台北報導】
去年房地產市場第四季出現回溫景況，不少業者預期這可能是今年房市景氣復甦的預兆，許久未見的房地產投資客也開始進場布局。今年有買賣房屋打算的民眾，除了比較貸款利率水準外，更要注意立法院審議中的強制執行法修正草案與土增稅減半徵收相關政策，待政策確定，等於新增省錢機會。
從貸款利率來看，隨著利率水準逐步下滑，政府提撥的優惠房貸利率已降至歷史低點3.45%；銀行定存利率也下滑至目前僅2.3%；同時，全省大部分區域房價也跌到近十年來低點。房地產市場上出現十年難得一見的低房貸利率、低房價以及低定存利率「三低」的情況。
對於自用型購屋者來說，如果衡量手邊資金可以負擔頭期款及每月房貸，只要選擇低總價的房屋，風險自然不高。
對投資型客戶來說，由於房價持續走跌，但租金跌幅有限，相對帶動租金投資報酬率上升。根據永慶房屋調查發現，住宅產品的投資報酬率已經從過去的3%至3.5%，上揚到3.5%至4%，店面更從過去4%至4.5%朝向5.5%至6%邁進。
和銀行定存利率降至2.3%的新低水準相較，房地產的投資效益顯得相當突出。除了店面之外，近來也有一些投資型客戶鎖定學校周邊的小坪數住宅，賺取租金收益，預料這類型投資者會愈來愈多。
再者，「強制執行法」修正草案亦在立法院審議階段，若順利修正通過，其中有關法拍屋方面的修正規定對購屋族群影響最大：民眾購買法拍屋時不能向銀行貸款的舊規可望取消，屆時民眾可以比照購買中古屋的方式，向銀行貸款，省去高額自備款的困擾。
另外，已經完成一讀、尚在立法院審議階段的土增稅減半徵收相關條文草案，今年可望順利三讀通過，屆時也將對有意售屋的屋主產生不同程度的影響效應。
課徵土增稅的稅額多寡，和土地持分大小及持有年限長短有關，例如持有面積大的公寓、別墅，或是持有時間長（約15年以上均未曾移轉）的屋主，受惠最大。
在土地從未移轉過的前提下，台北市凡79年7月前持有的住宅在今年後售出，都可享有土增稅最高30% 的優惠土增稅稅率。意即持有超過11年的房屋，今年賣出後都可享有最高的土增稅減稅稅額，台北市個別行政區中以中正區及大安區的屋主所可享有的優惠金額最高；至於大同區與萬華區隨著市政中心的東移，土地公告現值的調升幅度偏低。
不過，房地產業者也提醒，由於不少有意售屋的屋主為了等待政策確定而暫停交易動作，為了節稅而違約不賣，結果違約金還超過節稅金額，甚至可能失去下一個買方出現的時間點，其間的房貸利息損失，是也需計算在內的成本，屋主不可不審慎考量。
【2002-01-02/經濟日報/7版/金融2】
"
