,2014-02
2014-02-01_58,"《1分鐘看世界》
英國 政府借貸計畫奏效 倫敦新屋登記數大增60％
【本報訊】
英國房屋建築協會（NHBC）31日說，去年倫敦新屋登記數量比前年銳增60%至2.623萬戶，創26年來最高，主因是政府借貸計畫奏效與亞洲買主亟欲在海外置產。去年全國新屋登記數量增加28%至13.4萬戶，也寫下2007年經濟衰退以來最高紀錄。去年英格蘭和威爾斯地區房價攀升4.4%。
【2014-02-01/經濟日報/A2版/焦點】
"
2014-02-04_12,"法拍屋市場 如何安心購
自拍撇步：勤走訪 查產權
【記者廖炳棋╱台北報導】
都會區房價居高不下，不少想要有間屬於自己房屋的人因此考慮法拍屋市場。司法院雖已修改法令，要求法拍屋須揭露是否為凶宅，但因得標之前無法進入屋內察看屋況，是購買法拍屋最大的風險。
台北市某建設公司謝姓副總建議，民眾買法拍屋，除依據法院公告資訊到標的物四周觀察，也要多走訪鄰居以了解屋況及前屋主背景，同時可向地政單位調閱謄本，調查是否有產權糾紛。
有人為省麻煩，找法拍公司代拍，但代拍公司能協助的，就是幫助民眾找銀行貸款；由於代拍公司事後要抽一筆手續費，自備款足夠的民眾，不如勤做功課收集資訊自拍，省下手續費。
【2014-02-04/聯合報/A6版/話題】
"
2014-02-04_175,"海外投資不動產 首選美國
【本報訊】
根據台灣不動產投資協會（CCIM）調查，74％受訪者認為應繼續持有商用不動產，且可加碼土地、飯店；但對於辦公室及店面租金看法持平，半數以上投資人建議賣出豪宅及出租住宅，因為投資風險將升高。
CCIM調查也顯示，受訪者看好海外投資不動產首選美國，其次才是中國、日本、東南亞。
台灣CCIM協會理事長暨瑞普國際集團總裁曾東茂指出，2009年起美國施行量化寬鬆（QE）貨幣政策，使得全球市場資金游竄，加上低利率推波助瀾，熱錢氾濫追逐投資標的，是造成全球不動產價格上升的主因。
曾東茂表示，台灣不動產市場自2003年谷底起漲已走了10年的多頭行情，高房價是朝野關注焦點，且央行也已留意到國內銀行授信過度集中現象，因此央行對不動產放款陸續採行「針對性審慎措施」，與各部會齊力從需求面、供給面及制度面共同尋求健全房市，這些措施都影響2014年房市。
他說，受到政府一連串打房政策以及限制保險業購買不動產的「金八條」影響，2013年企業買商用不動產的動力大幅減弱，至2013年11月止，台灣商用不動產市場交易總金額僅822億元，直逼2008年金融海嘯時期的水準。
當時，全年商用不動產交易總金額約850億元，可突顯金八條直接迫使保險業者縮手，不再投資商用不動產。
曾東茂分析，根據CCIM商用不動產研究小組統計保險業者投資商用不動產比率，已從2012年的54％滑落至2013年的10％。
曾東茂說，台灣房地產10年來已漲了三、四倍，不動產價格已在相對高點，商用不動產投資者可考慮投資美國、日本等地不動產，不僅可分散風險，也可讓投資更多元化。
【2014-02-04/聯合報/G13版/初五特刊．商辦行情】
"
2014-02-04_2,"《名人堂》
2014經濟趨勢
【周行一】
馬年的經濟展望必定是大家新年團圓時茶餘飯後的話題，我給您一點參考意見。大家最關心的台灣股價、匯率、利率是由全球經濟與台灣競爭力決定的，二○一四年的全球經濟仍將是美國與中國大陸主導的天下。
美國正在溫和成長中，下方風險不高，企業及個人的槓桿持續下降，金融體系風險低，房價迅速上升中，房屋被銀行沒收的比率為金融危機以來的新低。美國的問題是失業率仍維持在六點七％，遠高於金融危機前的高點五點五％，通貨膨漲率低（一點五％），五年期的定存利率還比通膨低，表示美國的經濟還有許多進步空間，因此雖然聯準會已開始減緩量化寬鬆的幅度，步伐應當會非常緩慢。由於今年美國仍將比日本、歐洲及新興國家穩健，美元會是強勢貨幣。
中國大陸的經濟已從過去的高速成長減緩，二○一三年七點七％的成長率已經替未來幾年定調。短期風險不高，政府的總負債低於ＧＤＰ的六十％，因此仍有財政擴張的空間，今年的信用調控重點之一是抑制投機性的投資活動，對實體經濟活動不會有大打擊。
大陸最正面的發展是長時間工資成長率超過生產力成長率，促成經濟體逐漸從外貿驅動轉型成內需驅動，去年服務業占經濟的比重首次超過工業，顯示消費基礎有草根性支撐，如果這個趨勢持續下去，大陸將可以不必依賴國際貿易，靠自己的十四億人口健康成長。
但是大陸的長期風險高，政治轉型過程中是否能矯正貪腐、太子黨和智財權的保護問題，是需要觀察的。整體而言，大陸經濟的穩健成長，以及中共希望人民幣的國際影響力加速，這兩個因素將促使人民幣在二○一四年溫和升值。
日本與歐元區都不是全球經濟的關鍵影響因素。日本安倍的三支箭已成強弩之末，最重要的第三支箭，目的在調整經濟體制，促進內部與外部競爭，成功的機會並不大。安倍雖然知道日本的問題在經濟，而非國防安全，卻盡量利用與台灣、大陸、南韓的領土爭議，企圖挑起民族情緒，顯示他的第三支箭已無法中的，因此必須靠前面兩支箭撐下去。日本的財政問題嚴重，政府總負債接近ＧＤＰ的二五○％，財政擴張的能力有限，看來今年日本會以貨幣擴張方式，讓日圓繼續貶值。
歐元區的主權國家風險已減緩許多，現在歐元區的十年期政府公債利率平均為一點七七％，即使希臘的利率也已跌到八點三三％，但是卻面臨平均十二點一％的高失業率，○點八％的低通膨，以及二○一三年負○點四％的經濟成長，所以歐元沒有強勢的條件。
台灣的問題是國際競爭力衰退，一九九六年以來，實質生產力增加四十七％，類似新加坡和南韓，但是實質工資僅成長四％，遠低於新加坡的卅六％與南韓的廿八％。實質消費能力停滯，加上同期間政府支出與民間投資的成長有氣無力，造成貿易順差與民間消費成為經濟產出的主力。
現在民間消費已占經濟的六十％，但是國民儲蓄占可支配所得的比率從一九八六年的卅七％降至十八％，所以百姓已無多餘的消費能力。停滯的實質工資成長表示，我國的國際貿易競爭力主要依賴低勞工成本，而非高產品價值，當其他新興國家的生產成本比我們更具優勢時，就算國際景氣好轉，台灣的出口能否占得了便宜，是頗令人存疑的。
總之，今年全球的經濟風險低，但是台灣並無鶴立雞群的條件，在這種情況下，股市在選舉年也許有些令人期待的消息面，台幣沒有強勢的條件，利率也升不了許多。
（作者為政大財管系專任特聘教授）
【2014-02-04/聯合報/A4版/要聞】
"
2014-02-04_263,"台北大安區小豪宅當道
璽朵瑞安包租2年 穩享高投報
【台中訊】
市中心房價高漲，少子化的影響，小家庭的購屋比例正逐漸升高。大台北一級地段，20坪都會區精品宅，因交通便利、地段加值，躍升市場最主流。
其中、位於台北市大安森林公園雙捷運地段的「璽朵瑞安」，銷售資訊一公開，就吸引廣大投資族群詢問。該案位於大安森林公園站、大安站、科技大樓，三站雙線徒步圈。信義線通車後，一路從台北 101、東門永康、圓山美館、士林天母、北投淡水。文湖線從內湖大直、松山機場、南京忠孝商圈交軸到木柵。「璽朵瑞安」基地位於敦南、永康兩大生活圈的交界，全台灣最精華、超漲能的地塊軸線。
放眼香港、新加坡，華人置產致富法則「市中心的正中心、高點上的再高點」，台北市房產一路上揚。其中大安區每坪均價居全台之冠，全球金融海嘯仍有近20％漲幅，抗跌性高。出租轉售、理財兼儲蓄。擅長經營服務式住宅，擁有高端客源、高素質質管理的璽朵國際。以酒店式公寓定調12坪～20坪行館級豪宅。保證包租2年，年獲利3％，屋主穩享高投報，為台北購屋族，備妥一把通向豪門的金鑰匙。「璽朵瑞安」服務專線（02）2704-9955。（張勝宜）
【2014-02-04/經濟日報/A23版/房產】
"
2014-02-04_344,"大手筆行銷
搶人氣 祭奇招 建商春節沒打烊
北部大方送 強打名人牌
【記者江碩涵╱台北報導】
農曆年假間多數房仲店休假，但卻是各大代銷、建商預售案場的一級戰區；不少建商不但不打烊，還加碼行銷，大搶春節親子出遊、台商回台假期的購屋商機，北中南各大案場強強滾。
遠雄一向有過年期間不打烊的行銷模式，今年除了過年期間不打烊外，包括新北市新莊、中和及新竹指標案場更是增加人力配置，加碼舉辦親子活動為主的行銷活動。
遠雄集團公共事務副總經理蔡宗易表示，過去幾年遠雄在農曆年大打廣告、加碼行銷，效果不錯，平均一天都有億元以上的銷售額。去年九天年假原設定十五億元銷售額，結果銷售額逾廿億元，超乎原本預期，很多都是全家出遊、專程看屋的客戶。
遠雄副總張麗蓉表示，遠雄已連續十年春節不打烊，且還會在各大預售案現場舉辦講座，吸引來客人數，今年過年期間有阿基師、葉璦菱、吳若權、廖慶學、唐立淇、鄭雅勻等名人到場。蔡宗易表示，今年農曆年假期間，遠雄將邀請方國強為Robot Kitty量身定做專屬服飾，賞屋贈送Robot Kitty登山背包、成交還送Robot Kitty訂製玩偶。
鄉林建設旗下五個豪宅新案也不打烊，且還有不少活動。鄉林建設集團董事長賴正鎰表示，今年農曆春節假期只有六天，許多人選擇不出國、在台灣過春節，鄉林全台五個新案，包括鄉林天母大境、新莊淳青、淡水山海、蘆洲淳詠、台中皇居等，接待中心從大年初三起開門迎客，鄉林更宣布成交簽約就送涵碧樓住宿，提前感受未來入住後的頂級服務。
海悅廣告、海悅國際開發總經理王俊傑表示，從上市櫃企業、高科技產業和傳產去年的獲利成長來觀察，今年房市總體溫度應優於去年，許多游資對於更物美價廉的房地產需求仍殷切，預期今年房市主要都會區房價仍維持堅挺，成交量會略為回升。
海悅代銷全台卅六個新案，農曆連假不打烊，其中多個案子更是連除夕、初一都陪客戶守歲。
【2014-02-04/聯合報/A6版/話題】
"
2014-02-04_47,"升息、選舉… 房市變數多
【記者江碩涵╱台北報導】
2013年房市冷熱交替、多空交戰，雖然奢侈稅最後僅「微調」，二年閉鎖期不延長，對房地產業來說有「利空出盡」的意涵。但2014年房市仍將面對美國量化寬鬆（ＱＥ）政策退場、房貸即將升息、台灣七合一選舉等影響，房市走勢仍相當險峻。
永慶房產集團房產事業群總經理葉凌棋表示，2013年全台都會區房價仍持續上漲，除了台北市、台中市房價漲幅在10％以下，其他都會區房價漲幅都超過10％，尤其桃園、新竹、台南房價漲幅居各都會區之首，漲幅皆逾17％。
置產保值 需求升溫
葉凌棋指出，2013年全台房市價漲量升，主因台灣經濟緩步回溫，民間投資動能、商業活動逐漸好轉，加上2014年1月開始，基本工資、油、電價上漲，通膨壓力逐漸浮現，買屋置產保值的需求會升溫。
即便升息 幅度不大
葉凌棋分析，2014年雖然面臨美國縮減ＱＥ規模的影響，不過，2013年市場早已反映過美國ＱＥ退場，對民眾的影響也僅侷限在心理層面。他說，日本、歐洲、英國仍將持續擴大量化寬鬆規模，美國政府也將持續購債，只不過購債金額沒有過去每月850億美元這麼多，整體來說，2014年全球低利環境仍將持續。
他表示，即便央行下半年可能升息，但以過去央行升息幅度與時程來觀察，估計幅度也不會太大，2014年利率仍將維持低檔，對房市影響有限，民眾購屋負擔也不會大幅增加。
對首購族 影響有限
葉凌棋說，雖然政府對房市調控仍未鬆懈，且財政部也積極查稅、加稅，甚至發表房市已是「強弩之末」的言論，加速房市投機客退場。但對首購族來說，仍有青年安心成家方案的購屋優惠貸款，影響不大。
2014年唯一要擔心的就是年底的七合一大選，影響房市較多，也因此建商將避開年底大選，集中火力在上半年推案，預期上半年市場供給量將大增，市場也更多選擇性。
住展雜誌研發長倪子仁表示，2014年北中南三大都會區新推案量應可達1.37兆元，北台灣約為1兆元，較2013年縮減1成，台中應可達2500億元，比2013年成長25％，高雄目前預估推案量1200億元，比2013年的1500億元減少25％。
強者恆強 漲跌互見
倪子仁指出，建商推案會隨著大選到來，轉趨保守。
他分析，雙北市房價已處高檔盤整，2013年台北市預售屋均價為86.3萬元，新北市40.6萬，雙北市預售屋行情雙雙創下歷史新高，2014年是否還有追漲力道，值得觀察。但可確定的是，房市將繼續強者恆強、漲跌互見，但供給量過剩的區域，恐將面臨一成左右的房價修正危機。
【2014-02-04/聯合報/G12版/初五特刊．住宅行情】
"
2014-02-04_56,"鼎泰然雙捷運第一席
鄰捷運綠線G4站、紅線松竹站 近大賣場、雙學區 生活機能完善
【台中訊】
大台中捷運系統如火如荼展開，捷運烏日文心北屯線（綠線）開啟中台灣交通嶄新願景，預計興建18個車站，最快2015年完工、2016年通車。其中「G4站」位於北屯路、松竹路口，連接未來台鐵松竹站（紅線），西側為松竹路生活圈，完善的機能，前景看好，加上鄰近房價尚具補漲空間，被視為最具發展潛力的站別，增值後市可期。
「鼎泰然」立足捷運「綠線G4站」、「紅線松竹站」正核心，以地利優勢盡收發展增值效益。「鼎泰然」位北屯大道而居，透過早已發展成熟的各式機能，在3分鐘步行範圍內，即可滿足食衣住行育樂所需。正對僑孝國小，近鄰北新國中，雙學區落實9年菁英教育；臨近大買家、HOLA、全聯、一點利黃昏市場、7-11超商、丁丁藥局等；假日則可走入大坑風景區的自然懷抱裡。
「鼎泰然」市心千坪壯闊基地，全區0店面規畫，社區在稀有25％超低建蔽率規畫下，放寬棟距尺度，也提升建築氣度，並藉以打造接待大廳、交誼廳、視廳室、國際宴會廳、藝術水池、露天咖啡座、中庭花園、健身房、休閒步道、籃球場…28大頂級公設會館，為住戶奠定全方位完美社區型態，兼顧少、青、中、老四代動靜需求，盡享生活的豐富美好。即刻入主北屯24層世紀心帝標，收藏一生唯一的最高榮耀。接待會館：文心路、興安路口，服務專線（04）2233-6677。（張勝宜）
【2014-02-04/經濟日報/A23版/房產】
"
2014-02-04_60,"中產階級萎縮 美國消費沙漏化
所得分配不均 高階客戶花錢不手軟 底層客戶卻錙銖必較 一般大眾化商品 銷售量反而變少
【編譯任中原╱報導】
由於所得分配不均持續吞噬美國中產階級，使美國商品及服務市場正逐漸演變成上下寬、中間窄的「沙漏」型態。紐約時報報導，經歷過大衰退之後，企業界原有的中產階級客層持續萎縮，而最高層與最底層客戶的需求卻進一步增加，迫使業者針對新的消費者格局進行調適。
高檔餐廳 生意興隆
在紐約市曼哈坦區，過去中產階級愛去買過季服飾的洛曼折扣服裝店，已經破產，店面被巴尼斯高級服飾店取代。全美各地的「橄欖園」及「紅龍蝦」等平均每人晚餐消費不到台幣五百元的中價位餐廳，正勉力苦撐，但平均消費超過台幣兩千元的Capital Grille牛排館等高檔連鎖餐廳，卻生意興隆。奇異電器的高價位洗碗機與冰箱需求強勁，大眾化機型的銷售卻相形見絀。
低價商品 吸引買氣
資誠會計師事務主管麥斯威爾表示，「位居所得排名前百分之廿、擁有股票及房地產的消費者，現在感覺非常良好。」大商店及餐廳紛紛搶攻有錢客戶，提供各種高檔產品及服務；不然就是聚焦於最低價商品，以吸引越來越多錙銖必較的消費者。麥斯威爾表示，「連鎖商店或餐廳不是非常高檔，就得走低檔路線。千萬別被夾在中間。」
高收入者 消費大戶
最新研究發現，在二○一二年，美國所得前百分之五的人，消費額占國內總消費額的百分之卅八，遠高於一九九五年時的百分之廿八。
更令人震驚的是，此波經濟復甦幾乎完全是由高所得者推動。從二○○九年經濟衰退結束後，這些最高所得者的實質支出增加百分之十七，而其他百分之九十五的人實質支出僅增加百分之一。再把範圍拉大，二○○九至一二年間，美國實質消費支出的成長金額中，約九成是由所得排名前百分之廿的家庭所造就。
家電零售 都遭衝擊
所得分配不均造成的影響，目前正衝擊零售、餐廳、飯店到賭場，甚至波及家電廠商。高盛集團分析師坎特表示，拉斯維加斯的豪華賭場型房地產，就比大西洋城、紐約及康乃狄克的一般賭場繁榮得多。四季、聖瑞吉斯等高級旅館的客房費率去年上漲百分之七點五，而一些中級旅館則上漲百分之四點一。
以中產階級為主要客戶的零售業者西爾斯與ＪＣ潘尼最近也展開大動作；西爾斯上月宣布將關掉芝加哥市的旗艦店，ＪＣ潘尼也宣布關閉卅三處門市並裁員二千人。兩家公司的股價從二○○九年底迄今，已下跌逾五成；然而一些專攻高檔或低檔客層的公司，股價卻上漲逾倍。
富人消費 易受波動
法札瑞表示，有錢人多消費固能推動經濟，「但大部分其他人的消費落後，將使成長難以為繼」，而且更不穩定，因為這些富人的支出會隨著股市及房價的波動而劇烈變動。
【2014-02-04/聯合報/A17版/國際】
"
2014-02-04_94,"台幣雙率波幅 不會太大
【記者羅兩莎╱台北報導】
送走「小龍」，迎接象徵躍升的馬年，但市場預估，今年台幣雙率波動幅度不會太大。
首先，與國人荷包息息相關台幣「利率」，資深金融界人士認為，隨美國縮減購債規模，美國10年期公債殖利率站上3%，今年台幣利率將溫和上升，最快第3季可望升息，但幅度不大，頂多半碼（0.125個百分點）。
台幣匯價 30元上下波動
在匯率方面，市場人士普遍認為，美元因量化寬鬆政策（ＱＥ）退場看漲，但美元兌台幣、韓元和人民幣相對偏弱；預估馬年的台幣匯價將在30元上下狹幅波動，波動區間則介於29.40至30.50。
資深金融界人士分析，美國Ｆed去年12月中旬宣布，1月將縮減購債金額100億美元，「ＱＥ雖然還沒有退場，但美國長天期利率已經往上走，尤其是10期公債殖利率上升到3%。」凸顯市場開始看升利率。
業者預測 升息頂多半碼
銀行業者說，「央行總裁彭淮南也說，台灣等全球的利率都跟著美國走，看起來今年利率會往上；但國內經濟不是很理想，物價相當穩定，央行最快要到第3季才有可能動作，而且是溫和上升，頂多調升半碼。」
另大型行庫主管認為，央行今年應該不會調升利率，但有兩大不確定因素可能讓央行啟動升息：1、房價持續飆高；2、通膨攀升。前者是資金持續湧入房地產，房價續漲，央行必須出手壓制；後者則是美國景氣好轉，帶動原物料價格上揚，但是「目前兩者機率都不高。」
國內長率 將呈上升趨勢
第一銀行財務處長周慶輝說，去年底Fed宣布縮減購債規模後，美國10年期公債殖利率觸及3％；預估馬年美國10年債殖利率介於3.25％至3.5％間。而美債長率將帶動台債長率，國內長率將呈上升趨勢。
展望馬年其他外幣走勢，周慶輝說，美元今年走強機率很高，但亞洲貨幣的韓元和人民幣等對美元相當強勢；且以人民幣升值趨勢比較明顯，但升值幅度不會太大；日圓可望進一步往1美元兌107日圓低價靠攏。
人民幣 有機會看到6.01
他認為，馬年人民幣有機會看到6.01至6.02，盤中甚至有機會逼近6的整數關卡，但「大陸人行的人民幣國際化步伐不會走那麼快，人民幣不至於強勁升值。」
但周慶輝表示，因人民幣仍看升，且以各銀行推出專案優惠利率來看，人民幣與台幣利差仍大，外幣投資人可持續持有人民幣，空手者亦逢低可建立人民幣部位。
馬年台幣雙率（利率和匯率）預測及影響因素
台幣利率台幣匯率
1.美國QE將逐步退場，美10年債殖利率上到3%。1.台股有機會攻上9,000點，外資湧入，使台幣獲支撐，不致大幅走貶。
2.全球利率都是跟著美國走，台幣利率隨美長率上揚。2.美元雖看升，但對台幣、韓元和人民幣走勢偏弱。
3.全球景氣回溫，台幣利率幾乎無下調空間，第3季甚至有機會升息半碼。3.台幣將在30元上下狹幅波動，大區間則介於29.40至30.50之間。
製表羅兩莎
【2014-02-04/聯合報/G14版/初五特刊．雙率走勢】
"
