chtb_001.raw,1,N,,
chtb_001.raw,2,N,,
chtb_001.raw,3,Y,POS,ACTION
chtb_001.raw,4,Y,NEU,STATE
chtb_001.raw,5,Y,POS,STATE
chtb_001.raw,6,Y,POS,STATE
chtb_001.raw,7,Y,POS,STATE
chtb_001.raw,8,Y,POS,STATE
chtb_001.raw,9,N,,
chtb_001.raw,10,Y,POS,STATE
chtb_001.raw,11,N,,
chtb_002.raw,12,Y,POS,STATE
chtb_002.raw,13,N,,
chtb_002.raw,14,N,,
chtb_002.raw,15,N,,
chtb_002.raw,16,Y,POS,STATE
chtb_002.raw,17,N,,
chtb_002.raw,18,N,,
chtb_002.raw,19,N,,
chtb_002.raw,20,N,,
chtb_003.raw,21,Y,POS,STATE
chtb_003.raw,22,N,,
chtb_003.raw,23,Y,POS,STATE
chtb_003.raw,24,N,,
chtb_003.raw,25,Y,POS,ACTION
chtb_003.raw,26,Y,POS,STATE
chtb_003.raw,27,Y,POS,PEOPLE
chtb_003.raw,28,Y,POS,STATE
chtb_003.raw,29,N,,
chtb_003.raw,30,N,,
chtb_003.raw,31,N,,
chtb_004.raw,32,Y,POS,STATE
chtb_004.raw,33,N,,
chtb_004.raw,34,N,,
chtb_004.raw,35,N,,
chtb_004.raw,36,N,,
chtb_004.raw,37,N,,
chtb_004.raw,38,N,,
chtb_004.raw,39,N,,
chtb_004.raw,40,N,,
chtb_004.raw,41,N,,
chtb_005.raw,42,Y,POS,STATE
chtb_005.raw,43,N,,
chtb_005.raw,44,Y,POS,NA
chtb_005.raw,45,N,,
chtb_005.raw,46,Y,POS,PEOPLE
chtb_005.raw,47,Y,POS,STATE
chtb_005.raw,48,N,,
chtb_005.raw,49,Y,POS,NA
chtb_005.raw,50,N,,
chtb_005.raw,51,N,,
chtb_005.raw,52,N,,
chtb_005.raw,53,N,,
chtb_005.raw,54,N,,
chtb_005.raw,55,Y,POS,STATE
chtb_005.raw,56,N,,
chtb_006.raw,57,N,,
chtb_006.raw,58,N,,
chtb_006.raw,59,N,,
chtb_006.raw,60,Y,POS,STATE
chtb_006.raw,61,N,,
chtb_006.raw,62,Y,POS,STATE
chtb_006.raw,63,N,,
chtb_006.raw,64,N,,
chtb_006.raw,65,N,,
chtb_006.raw,66,N,,
chtb_006.raw,67,N,,
chtb_006.raw,68,Y,POS,PEOPLE
chtb_006.raw,69,Y,POS,NA
chtb_006.raw,70,N,,
chtb_007.raw,71,N,,
chtb_007.raw,72,N,,
chtb_007.raw,73,N,,
chtb_007.raw,74,Y,POS,NA
chtb_007.raw,75,Y,POS,STATE
chtb_007.raw,76,Y,POS,STATE
chtb_007.raw,77,N,,
chtb_008.raw,78,Y,POS,STATE
chtb_008.raw,79,N,,
chtb_008.raw,80,Y,POS,STATE
chtb_008.raw,81,Y,POS,STATE
chtb_008.raw,82,Y,POS,STATE
chtb_008.raw,83,N,,
chtb_008.raw,84,N,,
chtb_008.raw,85,Y,POS,NA
chtb_008.raw,86,Y,POS,NA
chtb_008.raw,87,Y,POS,NA
chtb_008.raw,88,Y,POS,ACTION
chtb_008.raw,89,Y,POS,STATE
chtb_008.raw,90,N,,
chtb_008.raw,91,N,,
chtb_008.raw,92,N,,
chtb_008.raw,93,N,,
chtb_009.raw,94,Y,POS,STATE
chtb_009.raw,95,N,,
chtb_009.raw,96,Y,POS,STATE
chtb_009.raw,97,Y,POS,PEOPLE
chtb_009.raw,98,Y,POS,NA
chtb_009.raw,99,Y,POS,NA
chtb_009.raw,100,N,,
chtb_009.raw,101,N,,
chtb_009.raw,102,Y,POS,ACTION
chtb_009.raw,103,Y,POS,ACTION
chtb_009.raw,104,N,,
chtb_009.raw,105,N,,
chtb_010.raw,106,N,,
chtb_010.raw,107,N,,
chtb_010.raw,108,Y,POS,NA
chtb_010.raw,109,N,,
chtb_010.raw,110,N,,
